epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,4049.69,1.14005,1.73499,0.869,1.22872,0.93479,0.77159,0.85001,0.62087,0.93479,0.77159,0.84624,0.54811,1.13908,2.03912,0.95327,1.23473,0.000478392,0.000478392,0.000478392
45,4137.36,0.99723,1.53129,1.08265,1.15918,0.93479,0.77159,0.85001,0.62087,0.93479,0.77159,0.84624,0.54811,1.13908,2.03912,0.95327,1.23473,0.000470145,0.000470145,0.000470145
46,4228.22,1.11952,1.66198,0.90732,1.27657,0.84988,0.76043,0.79074,0.58039,0.84988,0.76043,0.79074,0.53168,1.29146,2.11299,1.07836,1.30123,0.000461898,0.000461898,0.000461898
47,4316.22,1.06276,1.55244,0.84805,1.17352,0.84215,0.75411,0.79269,0.5865,0.84215,0.75411,0.79157,0.53671,1.22745,2.0442,1.13391,1.27866,0.000453652,0.000453652,0.000453652
48,4403.91,1.12105,1.70536,0.88446,1.20043,0.92084,0.72431,0.79778,0.59055,0.92084,0.72431,0.79627,0.5371,1.19015,2.04304,1.12389,1.272,0.000445405,0.000445405,0.000445405
49,4492.46,1.07075,1.67574,0.85002,1.20922,0.92084,0.72431,0.79778,0.59055,0.92084,0.72431,0.79627,0.5371,1.19015,2.04304,1.12389,1.272,0.000437158,0.000437158,0.000437158
50,4580.75,1.05804,1.6035,0.82064,1.166,0.947,0.72129,0.80588,0.58764,0.947,0.72129,0.80588,0.52229,1.24774,2.14356,1.08519,1.29716,0.000428912,0.000428912,0.000428912
51,4668.79,0.98345,1.57567,0.784,1.13704,0.92513,0.75209,0.84227,0.59728,0.91132,0.75539,0.81594,0.53157,1.25225,2.21734,1.04267,1.29932,0.000420665,0.000420665,0.000420665
52,4756.14,1.027,1.51816,0.81269,1.20654,0.92513,0.75209,0.84227,0.59728,0.91132,0.75539,0.81594,0.53157,1.25225,2.21734,1.04267,1.29932,0.000412418,0.000412418,0.000412418
53,4844.77,1.02551,1.51822,0.78487,1.14507,0.94641,0.75274,0.85847,0.5972,0.94641,0.75274,0.82764,0.53014,1.29602,2.33477,0.97586,1.35226,0.000404172,0.000404172,0.000404172
54,4932.43,0.96319,1.42134,0.71645,1.14841,0.94313,0.75354,0.87421,0.61986,0.92375,0.79205,0.84561,0.54912,1.2382,2.25232,0.8928,1.3059,0.000395925,0.000395925,0.000395925
55,5019.94,1.04255,1.61249,0.80012,1.16706,0.94313,0.75354,0.87421,0.61986,0.92375,0.79205,0.84561,0.54912,1.2382,2.25232,0.8928,1.3059,0.000387678,0.000387678,0.000387678
56,5110.76,0.97375,1.39117,0.69577,1.16133,0.87517,0.80083,0.86094,0.61559,0.88886,0.81741,0.83865,0.53694,1.19835,2.21562,0.86323,1.27564,0.000379431,0.000379431,0.000379431
57,5198.09,0.98164,1.51396,0.7274,1.18462,0.92571,0.81471,0.88615,0.65263,0.91107,0.79815,0.84191,0.54053,1.1493,2.11884,0.82537,1.23984,0.000371185,0.000371185,0.000371185
58,5285.92,0.97755,1.52967,0.73468,1.13918,0.91442,0.81223,0.87227,0.64643,0.89621,0.79185,0.84228,0.54098,1.13192,2.14637,0.81906,1.19704,0.000362938,0.000362938,0.000362938
59,5374.22,0.9709,1.46111,0.69551,1.14079,0.91442,0.81223,0.87227,0.64643,0.89621,0.79185,0.84228,0.54098,1.13192,2.14637,0.81906,1.19704,0.000354691,0.000354691,0.000354691
60,5462.51,1.01379,1.63627,0.74248,1.16375,0.90064,0.81304,0.86916,0.63623,0.89293,0.80624,0.83646,0.53269,1.14716,2.18096,0.84298,1.20773,0.000346445,0.000346445,0.000346445
61,5551.27,0.95884,1.44832,0.69838,1.13121,0.93433,0.77201,0.86544,0.63252,0.90225,0.80719,0.84917,0.52476,1.20318,2.21793,0.87054,1.21872,0.000338198,0.000338198,0.000338198
62,5639.55,0.92811,1.5376,0.71332,1.11215,0.93433,0.77201,0.86544,0.63252,0.90225,0.80719,0.84917,0.52476,1.20318,2.21793,0.87054,1.21872,0.000329951,0.000329951,0.000329951
63,5728.33,0.92933,1.47176,0.69139,1.09248,0.92022,0.79514,0.84635,0.61052,0.94323,0.72163,0.80793,0.50905,1.2838,2.53557,0.93546,1.24971,0.000321705,0.000321705,0.000321705
64,5816.15,0.96133,1.47783,0.68937,1.12318,0.97232,0.75803,0.83622,0.61665,0.97261,0.75017,0.81086,0.52124,1.26819,2.64623,0.92843,1.23537,0.000313458,0.000313458,0.000313458
65,5903.54,0.94826,1.37231,0.66021,1.13303,0.97232,0.75803,0.83622,0.61665,0.97261,0.75017,0.81086,0.52124,1.26819,2.64623,0.92843,1.23537,0.000305211,0.000305211,0.000305211
66,5995.14,0.90554,1.43,0.65665,1.07915,0.9613,0.79795,0.84871,0.62041,0.97067,0.76266,0.82597,0.54111,1.20415,2.44431,0.8655,1.22168,0.000296964,0.000296964,0.000296964
67,6082.29,0.96758,1.38008,0.68358,1.1217,0.94935,0.80058,0.86164,0.64441,0.94965,0.78811,0.84879,0.53295,1.16437,2.31089,0.81731,1.20042,0.000288718,0.000288718,0.000288718
68,6169.75,0.94824,1.43693,0.68649,1.12384,0.94509,0.78866,0.8558,0.64029,0.94509,0.78866,0.83689,0.5262,1.19022,2.33063,0.89381,1.23912,0.000280471,0.000280471,0.000280471
